epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,943.419,1.46915,2.1375,1.49201,0.62923,0.49979,0.5378,0.28517,1.49214,1.81782,1.50354,0.000367394,0.000367394,0.000367394
2,1851.75,1.49199,1.48309,1.47454,0.63202,0.53657,0.56225,0.28961,1.58792,1.71953,1.63911,0.000730424,0.000730424,0.000730424
3,2693.34,1.50443,1.45114,1.47803,0.68588,0.52081,0.57365,0.29205,1.62634,1.77098,1.66322,0.00108612,0.00108612,0.00108612
4,3528.49,1.49571,1.41575,1.4755,0.6537,0.51247,0.56176,0.28572,1.60189,1.76918,1.58635,0.001078,0.001078,0.001078
5,4441.31,1.49362,1.37148,1.4713,0.77004,0.55819,0.62125,0.32558,1.55927,1.49822,1.59661,0.001067,0.001067,0.001067
6,5280.07,1.47187,1.3164,1.45837,0.73465,0.56791,0.61986,0.33197,1.53246,1.38101,1.5461,0.00105601,0.00105601,0.00105601
7,6067,1.46634,1.28838,1.44993,0.75396,0.57898,0.65252,0.34968,1.50625,1.35302,1.52312,0.00104501,0.00104501,0.00104501
8,6972.29,1.45715,1.25451,1.43895,0.73573,0.58641,0.65335,0.35967,1.46357,1.25781,1.52899,0.00103401,0.00103401,0.00103401
9,7730.7,1.45116,1.22203,1.43889,0.7513,0.60962,0.66254,0.36155,1.47552,1.3437,1.51136,0.00102301,0.00102301,0.00102301
10,8453.35,1.43809,1.18752,1.42492,0.76317,0.61824,0.67998,0.36736,1.47664,1.21652,1.49985,0.00101201,0.00101201,0.00101201
11,9170.63,1.41442,1.1697,1.41383,0.79117,0.61334,0.67998,0.37218,1.45526,1.15557,1.48029,0.00100101,0.00100101,0.00100101
12,9886.33,1.4122,1.14459,1.40972,0.75052,0.60177,0.67338,0.36997,1.44348,1.23457,1.4832,0.000990012,0.000990012,0.000990012
13,10606.8,1.3929,1.11327,1.39757,0.76293,0.59477,0.6697,0.36965,1.45724,1.18553,1.47923,0.000979013,0.000979013,0.000979013
14,11328.5,1.38966,1.09651,1.39237,0.75352,0.62538,0.68043,0.38127,1.42973,1.17556,1.46682,0.000968014,0.000968014,0.000968014
15,12070.2,1.38663,1.10143,1.38445,0.79894,0.65405,0.71558,0.3884,1.45382,1.06461,1.4625,0.000957015,0.000957015,0.000957015
16,12797.8,1.37925,1.07867,1.38985,0.75838,0.6352,0.70948,0.39335,1.46272,1.10436,1.45559,0.000946016,0.000946016,0.000946016
17,13526.6,1.37927,1.07037,1.38568,0.7989,0.66511,0.73117,0.4132,1.40625,1.03266,1.44368,0.000935018,0.000935018,0.000935018
18,14256.5,1.37635,1.06045,1.37818,0.77124,0.63977,0.70629,0.37765,1.45524,1.12612,1.47345,0.000924019,0.000924019,0.000924019
19,15046.3,1.36866,1.02455,1.37549,0.7685,0.64492,0.71223,0.38041,1.48167,1.11581,1.50355,0.00091302,0.00091302,0.00091302
20,16416.2,1.37429,1.03064,1.36938,0.83667,0.66456,0.72966,0.40635,1.41724,1.0597,1.45188,0.000902021,0.000902021,0.000902021
